group,UMAP1,UMAP2,Tissue,CellType,NodeCount,MajorCT,DetailedCT,MajorOG
BLD_Bcell,BLD_Bcell,-2.32824974928164,-0.535346946503596,BLD,B)Bcell,3770,B),Bcell,others)
BLD_ILC,BLD_ILC,2.58131658211029,3.71312752417121,BLD,T)ILC,2623,T),ILC,others)
BLD_Myeloid,BLD_Myeloid,0.103187832048718,-5.95665398903832,BLD,My)Myeloid,4530,My),Myeloid,others)
BLD_Tcell,BLD_Tcell,-0.442999241495862,1.67141636081941,BLD,T)Tcell,2982,T),Tcell,others)
BLR_Bcell,BLR_Bcell,-1.23770713319068,0.0403314658246696,BLR,B)Bcell,2679,B),Bcell,others)
BLR_Myeloid,BLR_Myeloid,-0.222661956470348,-3.98017986445782,BLR,My)Myeloid,4247,My),Myeloid,others)
BLR_Tcell,BLR_Tcell,-2.2106419842822,2.45700820512461,BLR,T)Tcell,2031,T),Tcell,others)
BMA_Bcell,BMA_Bcell,-1.20212451077483,-0.635332144266741,BMA,B)Bcell,2541,B),Bcell,others)
BMA_HSC_MPP,BMA_HSC_MPP,-0.0263449166568395,-0.682089134165047,BMA,others)HSC_MPP,1881,others),HSC_MPP,others)
BMA_ILC,BMA_ILC,2.91331434912245,3.91615482776844,BMA,T)ILC,2942,T),ILC,others)
BMA_Myeloid,BMA_Myeloid,0.766906437063809,-5.94616110915136,BMA,My)Myeloid,3373,My),Myeloid,others)
BMA_Tcell,BMA_Tcell,1.01337848980385,2.37095467269913,BMA,T)Tcell,2779,T),Tcell,others)
FAT_Myeloid,FAT_Myeloid,-0.969794112988903,-4.16127368454234,FAT,My)Myeloid,5045,My),Myeloid,others)
FAT_Tcell,FAT_Tcell,-2.24795157201796,2.90603439096431,FAT,T)Tcell,2239,T),Tcell,others)
JEJEPI_Tcell,JEJEPI_Tcell,3.63242910366247,0.880547304261504,JEJEPI,T)Tcell,3866,T),Tcell,ITN)
JEJLP_Bcell,JEJLP_Bcell,0.301723635404007,-0.859259677740204,JEJLP,B)Bcell,1376,B),Bcell,ITN)
JEJLP_Myeloid,JEJLP_Myeloid,0.0685348454883121,-0.190997575059643,JEJLP,My)Myeloid,2237,My),Myeloid,ITN)
JEJLP_Tcell,JEJLP_Tcell,4.05297101027475,0.567258640308082,JEJLP,T)Tcell,3286,T),Tcell,ITN)
LARITN_Tcell,LARITN_Tcell,-2.57896806947165,3.63918014384833,LARITN,T)Tcell,3052,T),Tcell,ITN)
LIV_ILC,LIV_ILC,3.46747605809077,2.43257261351918,LIV,T)ILC,3020,T),ILC,others)
LIV_Myeloid,LIV_Myeloid,0.605121747824897,-4.55057501062734,LIV,My)Myeloid,2976,My),Myeloid,others)
LIV_Tcell,LIV_Tcell,3.37669443535371,1.95622728259643,LIV,T)Tcell,3117,T),Tcell,others)
LLN_Bcell,LLN_Bcell,-4.17247660905805,-0.927280443534367,LLN,B)Bcell,2788,B),Bcell,LN)
LLN_ILC,LLN_ILC,2.27257112938261,1.05224554806942,LLN,T)ILC,1731,T),ILC,LN)
LLN_Tcell,LLN_Tcell,-0.262813996582376,3.43954398861771,LLN,T)Tcell,3452,T),Tcell,LN)
LN_Bcell,LN_Bcell,-2.6296736879971,-1.08908583177535,LN,B)Bcell,5826,B),Bcell,LN)
LN_ILC,LN_ILC,-2.74557955392709,2.14315543696927,LN,T)ILC,2505,T),ILC,LN)
LN_Myeloid,LN_Myeloid,-0.741144395325063,-5.06868155172512,LN,My)Myeloid,4011,My),Myeloid,LN)
LN_Tcell,LN_Tcell,-2.71070448062317,1.93851104788661,LN,T)Tcell,3349,T),Tcell,LN)
LNG_ILC,LNG_ILC,2.92064321170266,3.45380462827172,LNG,T)ILC,2502,T),ILC,others)
LNG_Myeloid,LNG_Myeloid,0.317540630388046,-4.09875501391586,LNG,My)Myeloid,3454,My),Myeloid,others)
LNG_Tcell,LNG_Tcell,1.48297786696615,2.28807705219285,LNG,T)Tcell,2302,T),Tcell,others)
MG_Tcell,MG_Tcell,-1.98924881247488,2.63018309713535,MG,T)Tcell,2501,T),Tcell,others)
MLN_Bcell,MLN_Bcell,-4.95784951645891,-0.607112471658276,MLN,B)Bcell,3108,B),Bcell,LN)
MLN_ILC,MLN_ILC,3.03354293202517,1.68356164137239,MLN,T)ILC,2420,T),ILC,LN)
MLN_Tcell,MLN_Tcell,-0.663793981080622,3.78767137177278,MLN,T)Tcell,3836,T),Tcell,LN)
MM_Myeloid,MM_Myeloid,-0.239356174814579,-3.7580452612013,MM,My)Myeloid,3152,My),Myeloid,others)
PNC_Myeloid,PNC_Myeloid,-0.620753921030226,-5.32926919612396,PNC,My)Myeloid,3719,My),Myeloid,others)
PRS_Tcell,PRS_Tcell,-2.67017384714523,2.8104412251412,PRS,T)Tcell,2205,T),Tcell,others)
SG_Bcell,SG_Bcell,-3.05641030206936,-0.0711058975771818,SG,B)Bcell,3855,B),Bcell,others)
SG_Myeloid,SG_Myeloid,-0.648144927063459,-3.546903343218,SG,My)Myeloid,3462,My),Myeloid,others)
SG_Tcell,SG_Tcell,-2.55770907867704,0.930695672398502,SG,T)Tcell,2744,T),Tcell,others)
SKN_Myeloid,SKN_Myeloid,0.297345751318475,-3.3425563499329,SKN,My)Myeloid,2878,My),Myeloid,others)
SKN_Tcell,SKN_Tcell,-1.95534039900844,2.72201245175641,SKN,T)Tcell,2503,T),Tcell,others)
SMITN_Tcell,SMITN_Tcell,-2.90096281379151,3.50839640838594,SMITN,T)Tcell,3203,T),Tcell,ITN)
SPL_Bcell,SPL_Bcell,-2.70126376677191,-1.1591349887287,SPL,B)Bcell,5099,B),Bcell,others)
SPL_ILC,SPL_ILC,3.54696028255976,3.43099361864536,SPL,T)ILC,3185,T),ILC,others)
SPL_Myeloid,SPL_Myeloid,0.441518368117382,-5.40264462483965,SPL,My)Myeloid,3883,My),Myeloid,others)
SPL_Tcell,SPL_Tcell,0.780201601229411,2.95559597371647,SPL,T)Tcell,3630,T),Tcell,others)
THY_Bcell,THY_Bcell,-2.30120988184341,-0.812817612426014,THY,B)Bcell,4817,B),Bcell,others)
THY_ILC,THY_ILC,-2.70468712683629,0.91203639085212,THY,T)ILC,2445,T),ILC,others)
THY_Tcell,THY_Tcell,-2.97413539282315,2.1612904127369,THY,T)Tcell,3679,T),Tcell,others)
TRA_Myeloid,TRA_Myeloid,0.665717061127735,-4.51111672981976,TRA,My)Myeloid,3199,My),Myeloid,others)
VAS_Myeloid,VAS_Myeloid,-1.15148355968621,-4.36245875480479,VAS,My)Myeloid,4977,My),Myeloid,others)
BLD_ClassicalMonocyte,BLD_ClassicalMonocyte,0.129942608679394,-6.0275074745913,BLD,My)ClassicalMonocyte,4370,My),ClassicalMonocyte,others)
BLD_Erythrocyte,BLD_Erythrocyte,-0.150429703443119,-0.934156838110464,BLD,My)Erythrocyte,1825,My),Erythrocyte,others)
BLD_Monocyte,BLD_Monocyte,-0.0625541825644447,-5.86210465843597,BLD,My)Monocyte,4802,My),Monocyte,others)
BLD_NaiveBcell,BLD_NaiveBcell,-3.70281810293099,-0.335276675551371,BLD,B)NaiveBcell,2888,B),NaiveBcell,others)
BLD_Neutrophil,BLD_Neutrophil,0.995298035265536,-5.87265469537402,BLD,My)Neutrophil,3295,My),Neutrophil,others)
BLD_NK,BLD_NK,2.64386795443131,4.15629752553344,BLD,T)NK,2927,T),NK,others)
BLD_NK_CD16.,BLD_NK_CD16.,2.81707856703525,3.59998347815815,BLD,T)NK_CD16+,2924,T),NK_CD16+,others)
BLD_T_CD4,BLD_T_CD4,-1.43606279825898,1.3808197082711,BLD,T)T_CD4,3249,T),T_CD4,others)
BLD_T_CD8,BLD_T_CD8,2.05516363835426,3.61053030560965,BLD,T)T_CD8,3051,T),T_CD8,others)
BLD_Tmemory_CD4,BLD_Tmemory_CD4,-0.271395329290505,1.73983738150386,BLD,T)Tmemory_CD4,2039,T),Tmemory_CD4,others)
BLD_Tmemory_CD8,BLD_Tmemory_CD8,2.17396174012952,2.95115831720916,BLD,T)Tmemory_CD8,2225,T),Tmemory_CD8,others)
BLD_Tnaive_cm_CD4,BLD_Tnaive_cm_CD4,-0.592284501351006,1.93395944143189,BLD,T)Tnaive_cm_CD4,2463,T),Tnaive_cm_CD4,others)
BLD_Tnaive_cm_CD8,BLD_Tnaive_cm_CD8,-0.0432628602730331,1.36777122964407,BLD,T)Tnaive_cm_CD8,1850,T),Tnaive_cm_CD8,others)
BLR_Macrophage,BLR_Macrophage,-0.663930171900098,-4.17782831067631,BLR,My)Macrophage,5036,My),Macrophage,others)
BLR_PlasmaCell,BLR_PlasmaCell,-1.24497787883044,-0.151940669272491,BLR,B)PlasmaCell,3449,B),PlasmaCell,others)
BMA_ClassicalMonocyte,BMA_ClassicalMonocyte,0.864426931436862,-5.19889856591563,BMA,My)ClassicalMonocyte,2392,My),ClassicalMonocyte,others)
BMA_Monocyte,BMA_Monocyte,-0.184414218991178,-5.81577151174109,BMA,My)Monocyte,4478,My),Monocyte,others)
BMA_Neutrophil,BMA_Neutrophil,0.628784291988439,-6.38599640021771,BMA,My)Neutrophil,3746,My),Neutrophil,others)
BMA_NK_CD16.,BMA_NK_CD16.,3.11668117207254,3.82207134099313,BMA,T)NK_CD16+,3267,T),NK_CD16+,others)
BMA_Progenitor,BMA_Progenitor,0.0358601311862774,-0.292913812395421,BMA,others)Progenitor,2148,others),Progenitor,others)
BMA_T_CD4,BMA_T_CD4,-2.44174094723689,2.15351874718852,BMA,T)T_CD4,2868,T),T_CD4,others)
BMA_Tgd_CRTAM.,BMA_Tgd_CRTAM.,1.90827014450472,1.57828456498746,BMA,T)Tgd_CRTAM+,1677,T),Tgd_CRTAM+,others)
BMA_Tmemory_CD4,BMA_Tmemory_CD4,0.133625389938564,1.09711550628283,BMA,T)Tmemory_CD4,1510,T),Tmemory_CD4,others)
