Tissue,Celltype,normalized_connectivity
BLD,Bcell,79.5755968169761
BLR,Bcell,26.1291526689063
BMA,Bcell,118.063754427391
JEJLP,Bcell,7.26744186046512
LLN,Bcell,82.4964131994261
LN,Bcell,68.6577411603158
MLN,Bcell,80.4375804375804
SG,Bcell,49.2866407263294
SPL,Bcell,68.6409099823495
THY,Bcell,58.1274652273199
BLD,Tcell,6.70690811535882
BLR,Tcell,29.5420974889217
BMA,Tcell,14.3936667866139
JEJLP,Tcell,24.3457090687766
LLN,Tcell,23.1749710312862
LN,Tcell,32.8456255598686
MLN,Tcell,13.0344108446298
SG,Tcell,18.2215743440233
SPL,Tcell,30.3030303030303
THY,Tcell,32.6175591193259
