Tissue,Celltype,normalized_connectivity
BLD,Bcell,159.151193633952
BLR,Bcell,108.249346771183
BMA,Bcell,90.5155450609996
JEJLP,Bcell,21.8023255813953
LLN,Bcell,157.819225251076
LN,Bcell,164.778578784758
MLN,Bcell,193.050193050193
SG,Bcell,153.047989623865
SPL,Bcell,139.242988821338
THY,Bcell,70.5833506331742
BLD,Tcell,694.164989939638
BLR,Tcell,1442.63909404234
BMA,Tcell,1014.75350845628
JEJLP,Tcell,1113.81618989653
LLN,Tcell,674.971031286211
LN,Tcell,1000.298596596
MLN,Tcell,643.899895724713
SG,Tcell,400.874635568513
SPL,Tcell,1231.40495867769
THY,Tcell,742.049469964664
