Connectivity	Tissue	Celltypes
124.668435013263	BLD	Bcell
60.9988562714449	BLD	ILC
222.958057395143	BLD	Myeloid
6.70690811535882	BLD	Tcell
321.015304217992	BLR	Bcell
659.288909818696	BLR	Myeloid
221.565731166913	BLR	Tcell
635.424940428912	BLR	Macrophage
59.0318772136954	BMA	Bcell
33.9904826648538	BMA	ILC
195.671509042395	BMA	Myeloid
25.1889168765743	BMA	Tcell
497.522299306244	FAT	Myeloid
245.645377400625	FAT	Tcell
451.721242653233	FAT	Macrophage
204.34557682359	JEJEPI	Tcell
79.9418604651163	JEJLP	Bcell
143.048725972284	JEJLP	Myeloid
222.154595252587	JEJLP	Tcell
131.061598951507	LARITN	Tcell
450.331125827815	LIV	ILC
1186.15591397849	LIV	Myeloid
965.67212062881	LIV	Tcell
956.639566395664	LIV	Macrophage
14.3472022955524	LLN	Bcell
46.2160600808781	LLN	ILC
20.2780996523754	LLN	Tcell
127.016821146584	LN	Bcell
83.8323353293413	LN	ILC
486.163051608078	LN	Myeloid
35.8315915198567	LN	Tcell
403.789758628468	LN	Macrophage
35.9712230215827	LNG	ILC
234.510712217719	LNG	Myeloid
78.1928757602085	LNG	Tcell
328.638497652582	LNG	Macrophage
99.9600159936026	MG	Tcell
22.5225225225225	MLN	Bcell
57.8512396694215	MLN	ILC
23.4619395203337	MLN	Tcell
513.959390862944	MM	Myeloid
437.079731027858	MM	Macrophage
341.489647754773	PNC	Myeloid
167.800453514739	PRS	Tcell
80.4150453955901	SG	Bcell
424.610051993068	SG	Myeloid
102.040816326531	SG	Tcell
383.54898336414	SG	Macrophage
496.872828353023	SKN	Myeloid
95.8849380743108	SKN	Tcell
315.329378707462	SMITN	Tcell
86.2914296920965	SPL	Bcell
43.956043956044	SPL	ILC
373.422611382951	SPL	Myeloid
55.0964187327824	SPL	Tcell
411.449016100179	SPL	Macrophage
209.674070998547	THY	Bcell
89.9795501022495	THY	ILC
32.6175591193259	THY	Tcell
722.100656455142	TRA	Myeloid
492.264416315049	VAS	Myeloid
498.05321219987	VAS	Macrophage
