B cell DEGs	T cell DEGs	Myeloid DEGs	LC_genes
ACTB	1	1	1	FALSE
ACTG1	0	1	1	FALSE
ADM	0	0	1	FALSE
AIF1	0	0	1	FALSE
ALDOA	1	1	1	TRUE
ALOX5AP	0	1	0	FALSE
APOC1	0	0	1	TRUE
APOE	1	0	1	FALSE
B2M	1	1	1	FALSE
BST2	0	1	0	TRUE
BTG1	0	1	0	TRUE
C15orf48	0	0	1	FALSE
C19orf24	0	0	1	FALSE
C1QA	0	0	1	FALSE
C1QB	0	0	1	FALSE
C1QC	0	0	1	FALSE
CALM2	0	0	1	FALSE
CCL4	0	1	0	FALSE
CCL4L2	0	1	0	FALSE
CCL5	0	1	0	FALSE
CD2	0	1	0	FALSE
CD27	0	1	0	FALSE
CD3D	0	1	0	FALSE
CD52	0	1	1	FALSE
CD63	0	1	1	FALSE
CD7	0	1	0	FALSE
CD74	1	1	1	FALSE
CFL1	0	1	1	FALSE
CST3	0	0	1	FALSE
CSTB	0	0	1	FALSE
CTSB	0	0	1	FALSE
CTSD	0	0	1	FALSE
CXCL13	0	1	0	FALSE
CXCR4	1	1	0	TRUE
CYBA	0	0	1	FALSE
EEF1A1	1	1	1	FALSE
EEF1D	0	1	0	FALSE
EIF1	0	0	1	FALSE
ENO1	0	0	1	TRUE
FAU	1	1	1	FALSE
FCER1G	0	0	1	FALSE
FCGR2B	0	0	1	FALSE
FKBP1A	0	1	0	FALSE
FKBP2	1	0	1	FALSE
FTH1	1	1	1	FALSE
FTL	1	1	1	FALSE
GAPDH	0	1	1	FALSE
GIMAP4	0	1	0	FALSE
GIMAP7	0	1	0	FALSE
GLUL	0	0	1	TRUE
GNLY	0	1	0	FALSE
GPR171	0	1	0	FALSE
GPX1	1	1	1	FALSE
GZMA	0	1	0	TRUE
GZMB	0	1	0	FALSE
GZMK	0	1	0	FALSE
H3F3B	0	1	1	FALSE
HBA1	1	0	0	FALSE
HBA2	1	0	0	FALSE
HBB	1	0	0	FALSE
HCST	0	0	1	FALSE
HLA-A	1	1	1	TRUE
HLA-B	1	1	1	FALSE
HLA-C	1	1	1	FALSE
HLA-DPA1	0	1	1	FALSE
HLA-DPB1	0	1	1	FALSE
HLA-DQA1	0	0	1	FALSE
HLA-DQB1	0	0	1	FALSE
HLA-DRA	1	1	1	FALSE
HLA-DRB1	0	1	1	FALSE
HLA-DRB5	0	0	1	FALSE
HSP90AA1	0	1	0	TRUE
HSPA1A	0	1	1	FALSE
HSPA1B	0	1	1	FALSE
HSPB1	0	1	0	FALSE
ID2	0	1	0	FALSE
IFI16	0	1	0	FALSE
IFI6	0	1	1	FALSE
IFITM3	0	0	1	FALSE
IL1RN	0	0	1	FALSE
IL32	0	1	0	FALSE
IL4I1	0	0	1	FALSE
ISG15	0	1	1	TRUE
ISG20	0	1	0	FALSE
KLRB1	0	1	0	FALSE
KLRD1	0	1	0	FALSE
LAG3	0	1	0	FALSE
LDHA	0	0	1	TRUE
LGALS1	0	0	1	FALSE
LGMN	0	0	1	TRUE
LILRB4	0	0	1	FALSE
LSP1	0	0	1	FALSE
LY6E	0	1	0	FALSE
LYZ	0	0	1	FALSE
MS4A6A	0	0	1	FALSE
MT1X	0	0	1	FALSE
MT2A	0	1	1	FALSE
MYL6	0	1	1	FALSE
NBEAL1	1	1	1	FALSE
NKG7	0	1	0	FALSE
NPC2	0	0	1	FALSE
NUPR1	0	0	1	FALSE
OAZ1	0	1	1	FALSE
PFDN5	0	0	1	FALSE
PFN1	0	0	1	FALSE
PLTP	0	0	1	FALSE
PRF1	0	1	0	FALSE
PSAP	0	0	1	FALSE
PSMB9	0	1	0	FALSE
PTMA	0	1	1	FALSE
PTP4A1	0	0	1	FALSE
RGS1	0	1	1	FALSE
RGS2	0	1	1	FALSE
RNASE1	0	0	1	FALSE
RNASE6	0	0	1	FALSE
RPL10	1	1	1	FALSE
RPL10A	1	1	1	FALSE
RPL11	1	1	1	FALSE
RPL12	1	1	1	FALSE
RPL13	1	1	1	FALSE
RPL13A	1	1	1	FALSE
RPL14	1	1	1	FALSE
RPL15	1	1	1	FALSE
RPL18	1	1	1	FALSE
RPL18A	1	1	1	FALSE
RPL19	1	1	1	FALSE
RPL21	1	1	1	FALSE
RPL23	0	1	0	FALSE
RPL23A	1	1	1	FALSE
RPL26	1	1	1	FALSE
RPL27	1	1	1	FALSE
RPL27A	1	1	1	FALSE
RPL28	1	1	1	FALSE
RPL29	1	1	1	FALSE
RPL3	1	1	1	FALSE
RPL30	1	1	1	FALSE
RPL31	1	1	1	FALSE
RPL32	1	1	1	FALSE
RPL34	1	1	1	FALSE
RPL35	1	1	1	FALSE
RPL35A	1	1	1	FALSE
RPL36	1	1	1	FALSE
RPL37	0	1	1	FALSE
RPL37A	0	1	1	FALSE
RPL38	0	1	1	FALSE
RPL39	1	0	0	FALSE
RPL41	1	1	1	FALSE
RPL6	0	1	0	TRUE
RPL7	1	1	1	FALSE
RPL7A	1	0	0	FALSE
RPL8	1	1	1	FALSE
RPL9	1	1	1	FALSE
RPLP1	1	1	1	FALSE
RPLP2	1	1	1	FALSE
RPS10	0	1	1	FALSE
RPS11	1	1	1	FALSE
RPS12	1	1	1	FALSE
RPS13	1	1	1	FALSE
RPS14	1	1	1	FALSE
RPS15	1	1	1	FALSE
RPS15A	1	1	1	FALSE
RPS16	1	1	1	FALSE
RPS17	1	1	1	FALSE
RPS18	1	1	1	FALSE
RPS19	1	1	1	FALSE
RPS2	1	1	1	FALSE
RPS20	1	1	1	FALSE
RPS23	1	1	1	FALSE
RPS24	0	1	1	FALSE
