CellCount	Count	Group	Organ_Celltype
21	1942	NodeCount	BLD_ABCs
7	2095	NodeCount	BLD_AlveolarMacrophage
29	4785	NodeCount	BLD_basophil
12849	5138	NodeCount	BLD_ClassicalMonocyte
6	2074	NodeCount	BLD_Cycling
215	1890	NodeCount	BLD_Cycling T&NK
14	1431	NodeCount	BLD_DC1
100	1210	NodeCount	BLD_DC2
26	3945	NodeCount	BLD_dendritic_cell
10397	1744	NodeCount	BLD_Erythrocyte
1	1335	NodeCount	BLD_Erythroid
2	2305	NodeCount	BLD_granulocyte
65	5154	NodeCount	BLD_hematopoietic_stem_cell
15	2413	NodeCount	BLD_ILC3
6	2087	NodeCount	BLD_IntermediateMacrophage
488	3209	NodeCount	BLD_Macrophage
107	2298	NodeCount	BLD_MAIT
22	2311	NodeCount	BLD_MastCell
163	2899	NodeCount	BLD_Megakaryocytes
964	4424	NodeCount	BLD_MemoryBcell
229	2575	NodeCount	BLD_MNP_T_doublet
8435	5893	NodeCount	BLD_Monocyte
3	2907	NodeCount	BLD_myeloid_progenitor
2273	4071	NodeCount	BLD_NaiveBcell
8378	3527	NodeCount	BLD_Neutrophil
2871	4391	NodeCount	BLD_NK
3539	4235	NodeCount	BLD_NK_CD16+
445	3194	NodeCount	BLD_NK_CD56bright_CD16-
499	3951	NodeCount	BLD_NKT
8	3081	NodeCount	BLD_non-ClassicalMonocyte
236	2250	NodeCount	BLD_Nonclassical monocytes
43	2204	NodeCount	BLD_pDC
10	3724	NodeCount	BLD_plasmablast
35	1097	NodeCount	BLD_Plasmablasts
551	6723	NodeCount	BLD_PlasmaCell
204	3999	NodeCount	BLD_platelet
61	1839	NodeCount	BLD_Progenitor
2370	5129	NodeCount	BLD_T_CD4
270	4657	NodeCount	BLD_T_CD4_CD8
2706	4803	NodeCount	BLD_T_CD8
62	2043	NodeCount	BLD_T/B doublets
31	3533	NodeCount	BLD_Tcell
4331	2369	NodeCount	BLD_Tem_CD4
1983	3709	NodeCount	BLD_Temra_CD8
111	2351	NodeCount	BLD_Tfh
47	2366	NodeCount	BLD_Tgd_CRTAM+
857	4632	NodeCount	BLD_Tmemory_CD4_alpha-beta
6609	3148	NodeCount	BLD_Tnaive_CM_CD4
1182	2913	NodeCount	BLD_Tnaive_CM_CD8
403	3702	NodeCount	BLD_Tnaive_thymus-derived_CD4
798	2610	NodeCount	BLD_Treg
635	3015	NodeCount	BLD_Trm_em_CD8
9	1883	NodeCount	BLD_Trm_gut_CD8
2	1764	NodeCount	BLD_Trm_Tgd
35	2162	NodeCount	BLD_Trm_Th1_Th17
237	4581	NodeCount	BLR_Bcell
17	2680	NodeCount	BLR_dendritic_cell
5102	6538	NodeCount	BLR_Macrophage
924	3653	NodeCount	BLR_masTcell
502	5787	NodeCount	BLR_NK
1046	5125	NodeCount	BLR_PlasmaCell
2914	3935	NodeCount	BLR_Tcell
77	2107	NodeCount	BMA_ABCs
19	2218	NodeCount	BMA_AlveolarMacrophage
5032	2692	NodeCount	BMA_ClassicalMonocyte
848	2175	NodeCount	BMA_Cycling
798	2562	NodeCount	BMA_Cycling T&NK
51	1304	NodeCount	BMA_DC1
149	1117	NodeCount	BMA_DC2
86	2544	NodeCount	BMA_Erythrocyte
413	2269	NodeCount	BMA_Erythroid
670	8018	NodeCount	BMA_erythroid_progenitor
36	2901	NodeCount	BMA_ErythrophagocyticMacrophage
8	1691	NodeCount	BMA_GC_B (I)
781	7607	NodeCount	BMA_granulocyte
435	6718	NodeCount	BMA_hematopoietic_stem_cell
31	2289	NodeCount	BMA_ILC3
25	1895	NodeCount	BMA_IntermediateMacrophage
5	1841	NodeCount	BMA_Intestinal macrophages
264	3627	NodeCount	BMA_Macrophage
427	2617	NodeCount	BMA_MAIT
86	2593	NodeCount	BMA_MastCell
108	2517	NodeCount	BMA_Megakaryocytes
896	3611	NodeCount	BMA_MemoryBcell
245	2236	NodeCount	BMA_MNP_T_doublet
9	2068	NodeCount	BMA_MNP/B doublets
1073	7069	NodeCount	BMA_Monocyte
254	7982	NodeCount	BMA_myeloid_progenitor
861	4179	NodeCount	BMA_NaiveBcell
2573	4364	NodeCount	BMA_Neutrophil
470	4032	NodeCount	BMA_NK
7394	4527	NodeCount	BMA_NK_CD16+
832	3333	NodeCount	BMA_NK_CD56bright_CD16-
586	1881	NodeCount	BMA_Nonclassical monocytes
374	2254	NodeCount	BMA_pDC
175	1171	NodeCount	BMA_Plasmablasts
725	5028	NodeCount	BMA_PlasmaCell
72	3457	NodeCount	BMA_Pre-B
37	2947	NodeCount	BMA_Pro-B
1312	2486	NodeCount	BMA_Progenitor
1689	5139	NodeCount	BMA_T_CD4
301	5214	NodeCount	BMA_T_CD4_CD8
842	3947	NodeCount	BMA_T_CD8
50	1957	NodeCount	BMA_T/B doublets
2637	2273	NodeCount	BMA_Tem_CD4
6684	3800	NodeCount	BMA_Temra_CD8
267	2636	NodeCount	BMA_Tfh
1028	3295	NodeCount	BMA_Tgd_CRTAM+
4410	2987	NodeCount	BMA_Tnaive_CM_CD4
180	2787	NodeCount	BMA_Tnaive_CM_CD4_activated
629	2674	NodeCount	BMA_Tnaive_CM_CD8
435	2512	NodeCount	BMA_Treg
2895	3532	NodeCount	BMA_Trm_em_CD8
63	2473	NodeCount	BMA_Trm_gut_CD8
167	2468	NodeCount	BMA_Trm_Th1_Th17
2	997	NodeCount	CAE_AlveolarMacrophage
1	772	NodeCount	CAE_ClassicalMonocyte
1	579	NodeCount	CAE_Cycling
1	529	NodeCount	CAE_Cycling T&NK
8	2078	NodeCount	CAE_DC2
3	1461	NodeCount	CAE_ErythrophagocyticMacrophage
