GSVA	GSVA_code	GSVA_description
BLD_Bcell	0.909750641130597	C0034345	Pyruvate Dehydrogenase Complex Deficiency Disease
BLD_ILC	0.964205816554822	C0427480	Elliptocytosis found
BLD_Myeloid	0.861165684348431	C4304021	Autosomal dominant macrothrombocytopenia
BLD_Tcell	0.898674087412047	C0427480	Elliptocytosis found
BLR_Bcell	0.885709734604892	C0079297	Epidermolysis Bullosa Progressiva
BLR_Myeloid	0.93456936666973	C1840452	Hyaloideoretinal degeneration of Wagner
BLR_Tcell	0.971408304687086	C1608393	Megacystis microcolon intestinal hypoperistalsis syndrome
BMA_Bcell	0.950068125002039	C0271934	Congenital dyserythropoietic anemia, type III
BMA_HSC_MPP	0.884275124748597	C1868684	EAR, PATELLA, SHORT STATURE SYNDROME
BMA_ILC	0.824405715069864	C2932714	Pontocerebellar Hypoplasia Type 2
BMA_Myeloid	0.926337914937377	C1319466	Barber Say syndrome
BMA_Tcell	0.917171386478999	C0427480	Elliptocytosis found
FAT_Myeloid	0.919463087248325	C0024143	Lupus Nephritis
FAT_Tcell	0.958967643367714	C0410179	Ullrich congenital muscular dystrophy 1
JEJEPI_Tcell	0.901625927542537	C0432197	Short rib-polydactyly syndrome, Verma-Naumoff type
JEJLP_Bcell	0.870082392099127	C0678213	Complete hydatidiform mole
JEJLP_Myeloid	0.855217582183839	C0028738	Nystagmus
JEJLP_Tcell	0.859169531292688	C0042170	Uveomeningoencephalitic Syndrome
LARITN_Tcell	0.952911005620142	C0339985	Idiopathic bronchiectasis
LIV_ILC	0.905423636324042	C4316812	Fibrinogen Deficiency
LIV_Myeloid	0.97893817864354	C0025303	Meningococcal Infections
LIV_Tcell	0.968516396573369	C0750384	Coumarin Resistance
LLN_Bcell	0.78780934453066	C0239849	Harlequin Fetus
LLN_ILC	0.825759426220146	C0035258	Restless Legs Syndrome
LLN_Tcell	0.847355149916115	C0239849	Harlequin Fetus
LN_Bcell	0.925083210563674	C3808988	FANCONI ANEMIA, COMPLEMENTATION GROUP Q
LN_ILC	0.826138443192703	C0020625	Hyponatremia
LN_Myeloid	0.903912260599148	C0026706	Mucopolysaccharidosis III
LN_Tcell	0.765200883773093	C3887645	Job Syndrome
LNG_ILC	0.832051072188642	C0546966	Monilethrix
LNG_Myeloid	0.949197860962575	C1961835	Gaucher Disease, Type 1
LNG_Tcell	0.827852148888731	C0035220	Respiratory Distress Syndrome, Newborn
MG_Tcell	0.981284443716924	C1706595	Pachyonychia Congenita, Jadassohn Lewandowsky Type
MLN_Bcell	0.822820899355673	GWASCAT_DIS_1637	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
MLN_ILC	0.920259713813085	C0272199	Familial Hemophagocytic Lymphocytosis
MLN_Tcell	0.866810563961713	C0239849	Harlequin Fetus
MM_Myeloid	0.978610792819344	C3495498	Cardiomyopathy, Familial Hypertrophic, 1 (disorder)
PNC_Myeloid	0.933973589435784	C4080064	Autosomal Dominant Hereditary Pancreatitis
PRS_Tcell	0.886666110987601	C0266484	Schizencephaly
SG_Bcell	0.902439024390272	C0339985	Idiopathic bronchiectasis
SG_Myeloid	0.950534953112642	C0268374	Adult junctional epidermolysis bullosa (disorder)
SG_Tcell	0.959240464887876	C0265234	Branchio-Oto-Renal Syndrome
SKN_Myeloid	0.96409668794676	C4551476	Robinow Syndrome, Autosomal Dominant
SKN_Tcell	0.928094173057793	C0079301	Junctional Epidermolysis Bullosa
SMITN_Tcell	0.874740173940755	C0341703	Adult Fanconi syndrome
SPL_Bcell	0.895509367623535	C0002938	Aneuploidy
SPL_ILC	0.825870272422066	C2932714	Pontocerebellar Hypoplasia Type 2
SPL_Myeloid	0.825667048616836	C0041296	Tuberculosis
SPL_Tcell	0.886192393406912	C0239849	Harlequin Fetus
THY_Bcell	0.900145317194144	C0002938	Aneuploidy
THY_ILC	0.970753533038697	C1608393	Megacystis microcolon intestinal hypoperistalsis syndrome
THY_Tcell	0.787741111377049	C0020635	Hypopituitarism
