variable	value	Var1	Tissue
My)AlveolarMacrophage	99.5850622406639	LNG_AlveolarMacrophage	LNG
Br)Astrocyte	66.7655786350148	MTG_Astrocyte	MTG
B)Bcell	137.931034482759	BLD_Bcell	BLD
B)Bcell	70.9219858156028	BLR_Bcell	BLR
B)Bcell	106.257378984652	BMA_Bcell	BMA
B)Bcell	58.1395348837209	JEJLP_Bcell	JEJLP
B)Bcell	164.992826398852	LLN_Bcell	LLN
B)Bcell	164.778578784758	LN_Bcell	LN
B)Bcell	176.962676962677	MLN_Bcell	MLN
B)Bcell	121.919584954604	SG_Bcell	SG
B)Bcell	164.738183957639	SPL_Bcell	SPL
B)Bcell	105.875025949761	THY_Bcell	THY
My)ClassicalMonocyte	118.993135011442	BLD_ClassicalMonocyte	BLD
My)ClassicalMonocyte	33.4448160535117	BMA_ClassicalMonocyte	BMA
My)ClassicalMonocyte	74.0452065471551	LIV_ClassicalMonocyte	LIV
My)ClassicalMonocyte	44.9775112443778	LNG_ClassicalMonocyte	LNG
My)ClassicalMonocyte	105.177993527508	SPL_ClassicalMonocyte	SPL
My)Erythrocyte	49.3150684931507	BLD_Erythrocyte	BLD
My)ErythrophagocyticMacrophage	81.672655994773	SPL_ErythrophagocyticMacrophage	SPL
Br)GABAergic	252.795333009237	M1_GABAergic	M1
Br)GABAergic	131.172839506173	MTG_GABAergic	MTG
Br)Glutamatergic	197.869101978691	M1_Glutamatergic	M1
Br)Glutamatergic	189.659651857625	MTG_Glutamatergic	MTG
others)HSC_MPP	74.4284954811271	BMA_HSC_MPP	BMA
T)ILC	68.6237133053755	BLD_ILC	BLD
T)ILC	84.9762066621346	BMA_ILC	BMA
T)ILC	119.205298013245	LIV_ILC	LIV
T)ILC	98.209127671866	LLN_ILC	LLN
T)ILC	135.728542914172	LN_ILC	LN
T)ILC	71.9424460431655	LNG_ILC	LNG
T)ILC	157.02479338843	MLN_ILC	MLN
T)ILC	141.287284144427	SPL_ILC	SPL
T)ILC	139.059304703476	THY_ILC	THY
My)IntermediateMacrophage	85.8544562551104	LNG_IntermediateMacrophage	LNG
Br)L2-3_IT	218.787158145065	M1_L2-3_IT	M1
Br)L2-3_IT	201.952204644901	MTG_L2-3_IT	MTG
Br)L4_IT	101.100208147487	MTG_L4_IT	MTG
Br)L5_IT	180.320569902048	M1_L5_IT	M1
Br)L5_IT	251.606978879706	MTG_L5_IT	MTG
Br)L5-6_NP	130.856901646264	M1_L5-6_NP	M1
