Connectivity	Tissue	Celltypes
106.100795755968	BLD	Bcell
38.1242851696531	BLD	ILC
264.900662251656	BLD	Myeloid
46.9483568075117	BLD	Tcell
97.0511384845091	BLR	Bcell
299.034612667765	BLR	Myeloid
29.5420974889217	BLR	Tcell
345.512311358221	BLR	Macrophage
110.192837465565	BMA	Bcell
50.9857239972808	BMA	ILC
266.824785057812	BMA	Myeloid
25.1889168765743	BMA	Tcell
352.824578790882	FAT	Myeloid
160.786065207682	FAT	Tcell
322.418136020151	FAT	Macrophage
33.6264873254009	JEJEPI	Tcell
79.9418604651163	JEJLP	Bcell
75.994635672776	JEJLP	Myeloid
24.3457090687766	JEJLP	Tcell
180.209698558322	LARITN	Tcell
82.7814569536424	LIV	ILC
319.220430107527	LIV	Myeloid
48.1231953801732	LIV	Tcell
411.924119241192	LIV	Macrophage
100.430416068867	LLN	Bcell
57.7700751010976	LLN	ILC
55.0405561993048	LLN	Tcell
125.300377617576	LN	Bcell
127.744510978044	LN	ILC
246.821241585639	LN	Myeloid
104.508808599582	LN	Tcell
214.301827205053	LN	Macrophage
63.9488409272582	LNG	ILC
217.139548349739	LNG	Myeloid
34.7523892267593	LNG	Tcell
213.69596891695	LNG	Macrophage
139.944022391044	MG	Tcell
119.047619047619	MLN	Bcell
99.1735537190083	MLN	ILC
33.8894681960375	MLN	Tcell
266.497461928934	MM	Myeloid
336.215177713737	MM	Macrophage
247.378327507394	PNC	Myeloid
81.6326530612245	PRS	Tcell
202.334630350195	SG	Bcell
343.731946851531	SG	Myeloid
160.349854227405	SG	Tcell
307.301293900185	SG	Macrophage
291.86935371786	SKN	Myeloid
139.83220135837	SKN	Tcell
74.9297533562285	SMITN	Tcell
123.553637968229	SPL	Bcell
43.956043956044	SPL	ILC
352.81998454803	SPL	Myeloid
49.5867768595041	SPL	Tcell
237.030411449016	SPL	Macrophage
124.558854058543	THY	Bcell
134.969325153374	THY	ILC
89.6982875781462	THY	Tcell
422.006877149109	TRA	Myeloid
313.441832429174	VAS	Myeloid
288.773523685918	VAS	Macrophage
